C:\Users\23590\Anaconda3\python.exe C:/Users/23590/level4-project/template/src/individual-classification/classify_BRCA_BLCA.py
15     BLCA
16     BLCA
17     BLCA
18     BLCA
19     BLCA
       ... 
241    BRCA
242    BRCA
243    BRCA
244    BRCA
245    BRCA
Name: organ, Length: 924, dtype: object
15     BLCA
16     BLCA
17     BLCA
18     BLCA
19     BLCA
       ... 
241    BRCA
242    BRCA
243    BRCA
244    BRCA
245    BRCA
Name: organ, Length: 231, dtype: object
17     BLCA
18     BLCA
19     BLCA
20     BLCA
21     BLCA
       ... 
251    BRCA
252    BRCA
253    BRCA
254    BRCA
255    BRCA
Name: organ, Length: 239, dtype: object
(924, 49) (924, 2)
Epoch: 75, Loss: 0.01044, Train Accuracy: 0.99138, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 76, Loss: 0.01031, Train Accuracy: 0.99138, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 77, Loss: 0.01018, Train Accuracy: 0.99138, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 78, Loss: 0.01006, Train Accuracy: 0.99138, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 79, Loss: 0.00994, Train Accuracy: 0.99138, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 80, Loss: 0.00982, Train Accuracy: 0.99138, Test Accuracy: 0.99567, Best Test Accuracy: 0.99567
Epoch: 81, Loss: 0.00971, Train Accuracy: 0.99138, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 82, Loss: 0.00960, Train Accuracy: 0.99138, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 83, Loss: 0.00949, Train Accuracy: 0.99138, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 84, Loss: 0.00938, Train Accuracy: 0.99138, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 85, Loss: 0.00927, Train Accuracy: 0.99138, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 86, Loss: 0.00917, Train Accuracy: 0.99138, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 87, Loss: 0.00907, Train Accuracy: 0.99138, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 88, Loss: 0.00897, Train Accuracy: 0.99138, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 89, Loss: 0.00888, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 90, Loss: 0.00878, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 91, Loss: 0.00869, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 92, Loss: 0.00860, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 93, Loss: 0.00852, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 94, Loss: 0.00843, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 95, Loss: 0.00835, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 96, Loss: 0.00826, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 97, Loss: 0.00818, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 98, Loss: 0.00811, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Epoch: 99, Loss: 0.00803, Train Accuracy: 0.99353, Test Accuracy: 1.00000, Best Test Accuracy: 1.00000
Confusion matrix, without normalization
[[ 71   0]
 [  3 165]]
              precision    recall  f1-score   support

           0       0.96      1.00      0.98        71
           1       1.00      0.98      0.99       168

    accuracy                           0.99       239
   macro avg       0.98      0.99      0.99       239
weighted avg       0.99      0.99      0.99       239

The 0 fold，The best testing accuracy for trained model at this fold is 1.0000，The validation accuracy for this fold is 0.9874
save weight file to ./result
15     BLCA
16     BLCA
17     BLCA
18     BLCA
19     BLCA
       ... 
241    BRCA
242    BRCA
243    BRCA
244    BRCA
245    BRCA
Name: organ, Length: 924, dtype: object
15     BLCA
16     BLCA
17     BLCA
18     BLCA
19     BLCA
       ... 
241    BRCA
242    BRCA
243    BRCA
244    BRCA
245    BRCA
Name: organ, Length: 231, dtype: object
17     BLCA
18     BLCA
19     BLCA
20     BLCA
21     BLCA
       ... 
251    BRCA
252    BRCA
253    BRCA
254    BRCA
255    BRCA
Name: organ, Length: 239, dtype: object
(924, 49) (924, 2)
Epoch: 0, Loss: 0.26005, Train Accuracy: 0.47737, Test Accuracy: 0.68398, Best Test Accuracy: 0.68398
Epoch: 1, Loss: 0.20336, Train Accuracy: 0.79957, Test Accuracy: 0.87446, Best Test Accuracy: 0.87446
Epoch: 2, Loss: 0.16491, Train Accuracy: 0.92996, Test Accuracy: 0.95671, Best Test Accuracy: 0.95671
Epoch: 3, Loss: 0.13855, Train Accuracy: 0.95366, Test Accuracy: 0.96537, Best Test Accuracy: 0.96537
Epoch: 4, Loss: 0.11928, Train Accuracy: 0.96228, Test Accuracy: 0.96537, Best Test Accuracy: 0.96537
Epoch: 5, Loss: 0.10460, Train Accuracy: 0.96444, Test Accuracy: 0.96537, Best Test Accuracy: 0.96537
Epoch: 6, Loss: 0.09307, Train Accuracy: 0.96228, Test Accuracy: 0.96537, Best Test Accuracy: 0.96537
Epoch: 7, Loss: 0.08383, Train Accuracy: 0.96444, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 8, Loss: 0.07630, Train Accuracy: 0.96336, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 9, Loss: 0.07008, Train Accuracy: 0.96336, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 10, Loss: 0.06486, Train Accuracy: 0.96336, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 11, Loss: 0.06043, Train Accuracy: 0.96444, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 12, Loss: 0.05663, Train Accuracy: 0.96552, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 13, Loss: 0.05332, Train Accuracy: 0.96767, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 14, Loss: 0.05042, Train Accuracy: 0.96767, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 15, Loss: 0.04785, Train Accuracy: 0.96875, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 16, Loss: 0.04555, Train Accuracy: 0.96983, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 17, Loss: 0.04349, Train Accuracy: 0.96983, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 18, Loss: 0.04162, Train Accuracy: 0.97091, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 19, Loss: 0.03991, Train Accuracy: 0.97091, Test Accuracy: 0.96970, Best Test Accuracy: 0.96970
Epoch: 20, Loss: 0.03836, Train Accuracy: 0.97306, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 21, Loss: 0.03692, Train Accuracy: 0.97414, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 22, Loss: 0.03560, Train Accuracy: 0.97414, Test Accuracy: 0.98268, Best Test Accuracy: 0.98268
Epoch: 23, Loss: 0.03437, Train Accuracy: 0.97414, Test Accuracy: 0.98268, Best Test Accuracy: 0.98268
Epoch: 24, Loss: 0.03323, Train Accuracy: 0.97414, Test Accuracy: 0.98268, Best Test Accuracy: 0.98268
Epoch: 25, Loss: 0.03217, Train Accuracy: 0.97522, Test Accuracy: 0.98268, Best Test Accuracy: 0.98268
Epoch: 26, Loss: 0.03117, Train Accuracy: 0.97629, Test Accuracy: 0.98268, Best Test Accuracy: 0.98268
Epoch: 27, Loss: 0.03024, Train Accuracy: 0.97629, Test Accuracy: 0.98268, Best Test Accuracy: 0.98268
Epoch: 28, Loss: 0.02936, Train Accuracy: 0.97737, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 29, Loss: 0.02853, Train Accuracy: 0.97737, Test Accuracy: 0.98701, Best Test Accuracy: 0.98701
Epoch: 30, Loss: 0.02775, Train Accuracy: 0.97845, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 31, Loss: 0.02701, Train Accuracy: 0.97845, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 32, Loss: 0.02630, Train Accuracy: 0.97845, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 33, Loss: 0.02564, Train Accuracy: 0.97845, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 34, Loss: 0.02500, Train Accuracy: 0.97845, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 35, Loss: 0.02440, Train Accuracy: 0.97845, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 36, Loss: 0.02383, Train Accuracy: 0.97953, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 37, Loss: 0.02328, Train Accuracy: 0.98060, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 38, Loss: 0.02275, Train Accuracy: 0.98060, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 39, Loss: 0.02225, Train Accuracy: 0.98168, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 40, Loss: 0.02177, Train Accuracy: 0.98168, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 41, Loss: 0.02130, Train Accuracy: 0.98168, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 42, Loss: 0.02086, Train Accuracy: 0.98168, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 43, Loss: 0.02043, Train Accuracy: 0.98168, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 44, Loss: 0.02002, Train Accuracy: 0.98168, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 45, Loss: 0.01963, Train Accuracy: 0.98168, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 46, Loss: 0.01925, Train Accuracy: 0.98168, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 47, Loss: 0.01888, Train Accuracy: 0.98276, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 48, Loss: 0.01852, Train Accuracy: 0.98276, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 49, Loss: 0.01818, Train Accuracy: 0.98276, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 50, Loss: 0.01785, Train Accuracy: 0.98276, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 51, Loss: 0.01753, Train Accuracy: 0.98276, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 52, Loss: 0.01722, Train Accuracy: 0.98384, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 53, Loss: 0.01692, Train Accuracy: 0.98384, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
Epoch: 54, Loss: 0.01664, Train Accuracy: 0.98384, Test Accuracy: 0.99134, Best Test Accuracy: 0.99134
